state,bea,industry,census_share,share_ratio_before,factor,share_ratio_after,output_unadjusted,output_adjusted
AZ,321,Wood products,0.011067512784477594,0.7654572761239452,1.3064086412029574,1.0000000000000002,1411.9222454829464,1844.5474222056046
AZ,322,Paper products,0.008275804272947444,0.753172750910181,1.3283942652337921,1.0005103630394434,1174.2103093887165,1559.8142411703677
AZ,323,Printing and related support activities,0.015787143444278437,1.128280194197762,0.8863046654036385,0.9999999999999998,1469.3653943070462,1302.305404156992
AZ,325,Chemical products,0.004466781400875953,0.8231438450654132,1.2168902611334935,1.0016757285720785,3999.4439787976967,4866.8844277479075
AZ,326,Plastics and rubber products,0.010624288225308549,1.0203173334850655,0.9804305640735281,1.0003502988027608,3035.5616183124835,2976.15738972206
AZ,327,Nonmetallic mineral products,0.01576936165108572,1.2684102427147663,0.7883884616539435,1.0000000000000004,3153.85193410489,2486.4604746132686
AZ,331,Primary metals,0.004898967498300213,3.184058111321704,0.500935226022734,1.5950068696644575,4992.523176655475,2500.9307259216484
AZ,332,Fabricated metal products,0.017122925208898365,0.9663584633578647,1.0352505003403305,1.0004230826993425,7713.1165899692505,7985.007808948971
AZ,333,Machinery,0.005741225196125129,1.439778247411813,0.6948380599723678,1.0004127242220398,3852.402948705793,2676.796191110562
AZ,334,Computer and electronic products,0.02939292766369629,1.2745802480437658,0.8123153162886765,1.0353610573249712,13594.86168941398,11043.314373137127
AZ,335,"Electrical equipment, appliances, and components",0.008562136104646364,1.6482096146894651,0.6087092046812684,1.0032803637056442,2382.049427809384,1449.9754127133206
AZ,3361MV,"Motor vehicles, bodies and trailers, and parts",0.004008319266050589,2.9336454782028816,0.4990661600880187,1.4640831838662915,6199.842406240081,3094.131542833099
AZ,3364OT,Other transportation equipment,0.19429999849014742,1.378066530991275,0.7237290539313975,0.9973467867288385,26041.596559153346,18847.060040619188
AZ,337,Furniture and related products,0.017013314795866055,1.034591824709908,0.9665647612094688,1.0000000000000007,1485.3585882352938,1435.6952691480803
AZ,339,Miscellaneous manufacturing,0.027500186911118267,0.9827737801267752,1.0194267460619866,1.0018658767896764,5001.678436505492,5098.844773375198
AZ,42,Wholesale trade,0.013296811230481109,1.2426561246518935,0.8046803311993481,0.9999409419517842,49751.092752995435,40033.72579400986
AZ,441,Motor vehicle and parts dealers,0.024143463406432877,1.0838722034914041,0.9200871013358978,0.9972568339289586,14089.361442726153,12963.439729511669
AZ,445,Food and beverage stores,0.020460527467547413,0.9289376955332577,1.0764984614236681,0.9999999999999997,6654.0714487986315,7163.097676834885
AZ,452,General merchandise stores,0.02246819002137277,1.0808148449143484,0.9252278544335194,0.9999999999999999,7513.678829346683,6951.86494217899
AZ,481,Air transportation,0.01710014393164724,1.7365259166866949,0.5809073261570351,1.0087606270648626,8146.35297506872,4732.2761246785785
AZ,484,Truck transportation,0.016656715672895277,0.973325635595601,1.0274053856478123,1,8554.229919535528,8788.661889400453
AZ,485,Transit and ground passenger transportation,0.0213315515275887,0.8393391876721797,1.1964921534245692,1.0042627521115148,2275.6976445986957,2722.8543753291133
AZ,486,Pipeline transportation,0.004684513579995668,0.689403282931481,1.5959805684141757,1.100274243359584,187.41337029052457,299.10809724468777
AZ,487OS,Other transportation and support activities,0.019846891618258866,1.0205135628960371,0.9798987846493449,0.9999999999999994,7021.560832719056,6880.4189263228445
AZ,493,Warehousing and storage,0.013195416205027934,1.8686783405902134,0.5360004194705521,1.0016123744118894,4593.79475663698,3061.02
AZ,4A0,Other retail,0.022635279906244348,0.965144270223469,1.0332366365647592,0.9972224195654467,34479.80915856264,35625.80204438804
AZ,511,"Publishing industries, except internet (includes software)",0.00742111568392785,1.5264354653578136,0.6548468610665482,0.9995814731102202,7151.160540033023,4948.938
AZ,512,Motion picture and sound recording industries,0.004304457185074997,0.8575328244023236,1.182072789365689,1.0136662177138918,822.4174312731355,972.1572670080002
AZ,513,Broadcasting and telecommunications,0.01605009478723955,0.9992254812874302,1.0004895809937941,0.9997146830915832,14632.237343756973,14639.401009057161
AZ,514,"Data processing, internet publishing, and other information services",0.00559168470598259,2.185697275928807,0.5085533920052414,1.111543763570211,9190.746203743745,5596.536
AZ,521CI,"Federal Reserve banks, credit intermediation, and related activities",0.019600902778746612,1.192182289181659,0.869749429969179,1.0368998664350988,29458.84285994235,25621.81178498648
AZ,523,"Securities, commodity contracts, and investments",0.00895506463576194,1.0608496268146204,0.9423697152086333,0.9997125607004788,8252.66513261241,7777.0616907321755
AZ,524,Insurance carriers and related activities,0.022099896438684548,0.8008147726634031,1.2405311914087866,0.9934357040298882,25399.49721893647,31508.868546191425
AZ,532RL,Rental and leasing services and lessors of intangible assets,0.015365589524298878,1.4431585101140256,0.6856991649806853,0.9895725853199577,19461.42775492655,13344.684760885068
AZ,5411,Legal services,0.013776439665759832,0.9141517947752781,1.0939102299151815,1.0000000000000004,5331.238718659113,5831.896572461108
AZ,5412OP,"Miscellaneous professional, scientific, and technical services",0.014341352979060189,0.9992405572293561,1.0007600199623103,1.0000000000000007,29329.610324055524,29351.90141338859
AZ,5415,Computer systems design and related services,0.015129799087167922,0.9154571772716208,1.0929518561110665,1.000550621089216,9960.375451005244,10886.210836739283
AZ,561,Administrative and support services,0.029672116138083952,0.8902763232493635,1.1232788235317739,1.0000285409977376,35458.24776055585,39829.49882897533
AZ,562,Waste management and remediation services,0.020505286460243223,1.0676813877877316,0.936430099664563,0.9998089883760644,3961.9142246158717,3710.055732219491
AZ,621,Ambulatory health care services,0.02195518926999609,1.059758355783325,0.9436113379458526,1.0000000000000002,35547.184679997044,33542.726496100324
AZ,622,Hospitals,0.018653267298992398,1.0351863897317857,0.966108021339934,1.0001018747018051,22629.650565450444,21862.686931401448
AZ,623,Nursing and residential care facilities,0.018610987444846173,0.9876467202860337,1.0125077919667351,0.9999999999999998,6072.2042553191495,6148.154122924205
AZ,624,Social assistance,0.0184092408714054,0.989036579976799,1.0110849489747469,1.0000000000000002,6211.11099624772,6279.960844717615
AZ,711AS,"Performing arts, spectator sports, museums, and related activities",0.015830749912716352,0.878339730800003,1.1385393903818528,1.000024381653196,4624.127425194459,5264.751219728906
AZ,713,"Amusements, gambling, and recreation industries",0.025179133350720806,0.6122680331026703,1.6424425725832692,1.005615083399648,3919.488493150685,6437.534763900932
AZ,721,Accommodation,0.025125710647210774,0.7907347186043503,1.2649423360551824,1.0002338221513238,7406.406551528948,9368.677205065434
AZ,722,Food services and drinking places,0.0224113974358641,1.0036418758366732,0.9963713392950677,1.0000000000000007,28994.32982881709,28889.119243501416
AZ,81,"Other services, except government",0.016657197247436115,1.0473479325627462,0.9564688965483035,1.0017557213604367,18171.690663228084,17380.656917074873
AZ,ORE,Other real estate,0.03549319805234587,0.6517805457346905,1.5340043264823464,0.9998341770740405,45588.76110274349,69933.35677057863
CA,211,Oil and gas extraction,0.0331938626474309,0.6415824008283331,1.6123080055977022,1.034428441106115,10844.68732968649,17484.976199857494
CA,212,"Mining, except oil and gas",0.03931766456330058,1.0474950986659488,0.9542814942316897,0.999605187955313,4699.094791453752,4484.259199124836
CA,213,Support activities for mining,0.019342804255374334,1.4068553399610724,0.7106795617821412,0.9998233364944004,2565.8435042066135,1823.4925371711097
CA,22,Utilities,0.0814685569030662,1.5153415500061258,0.6619107796921712,1.0030209068644982,82152.91142514811,58437.636000000006
CA,23,Construction,0.11477218183382211,1.1127760367592756,0.8986534279730612,1.0000000000000004,286438.8234741915,257409.23061965275
CA,311FT,Food and beverage and tobacco products,0.1197605210949369,0.9084125365369494,1.1008214437596822,0.9999999999999998,118761.57081005129,130735.28384228838
CA,313TT,Textile mills and textile product mills,0.05315192211519252,1.4330223470791843,0.6978258238876878,1,3156.1738542095663,2202.4596201465697
CA,315AL,Apparel and leather and allied products,0.3850871914845274,1.1425448766958248,0.8786733679500571,1.0039237548404032,7442.39845472837,6539.437315842478
CA,321,Wood products,0.0557655971314039,1.1088476673738097,0.9018371318473315,1.0000000000000002,9898.669812232278,8926.987992567321
CA,322,Paper products,0.054572860220438904,0.9201079739890832,1.0873836455321435,1.0005103630394436,9613.829900438926,10453.921404665203
CA,323,Printing and related support activities,0.08299419783857416,0.9969718347639899,1.0030373628726703,1,6473.226873541764,6492.888412513831
CA,324,Petroleum and coal products,0.10998592786821283,1.3309828203595004,0.7546148899786104,1.0043794545490052,99266.02202627524,74907.618289972
CA,325,Chemical products,0.10425605407607612,1.3497072991498902,0.7421429292136017,1.0016757285720785,136390.85295724752,101221.5071316333
CA,326,Plastics and rubber products,0.06523917565003487,0.9996188005374511,1.0007317772183921,1.0003502988027608,20396.03939313282,20410.964750106144
