state,bea,industry,output_type1,output_type2,direct_jobs,jobs_type1,jobs_type2,labor_type2,va_type2,jobs_multiplier,direct_jobs_se,jobs_type2_se,labor_type2_se,output_type2_se
AL,5411,Legal services,1.148028449867342,1.5219451848380858,3.0550356294244403,3.615191340757653,5.184640465984969,0.513318870250529,1.1152465911917915,1.6970801963974933,4.455780804095039,8.114521644112003,0.6479303859433634,1.6200002172057095
AL,5415,Computer systems design and related services,1.2664927656719462,1.9027882380012622,4.8014188994188975,6.106694531397944,8.77743183474834,0.8735165946160902,1.2268989305493998,1.8280912410726438,5.672866688149585,11.777478527973125,0.9617528439504031,1.9670621468116836
AL,5412OP,"Miscellaneous professional, scientific, and technical services",1.2775670095232181,1.760013623602172,4.212937490181207,5.270259564059858,7.295243592908791,0.6623104229731203,1.0802731867863493,1.7316287293393968,7.223155967445065,12.462145342963723,0.8474043342344337,1.894841534619775
AL,55,Management of companies and enterprises,1.4193997994828953,2.046484736105202,4.217769799983513,5.66456264424048,8.296640358820738,0.8608722239812909,1.2540667016947424,1.9670680839085077,4.217769799983513,10.45329675549154,0.9072474484762781,2.0802658291677605
AL,561,Administrative and support services,1.2973518940944253,1.7955560217333406,9.466835223629122,10.750277371431359,12.841400766506775,0.6839425894478042,1.0696007888607937,1.3564618442343617,17.04830935047695,22.39207775770206,0.7921208825339263,1.8743563084356973
AL,562,Waste management and remediation services,1.3754617028992204,1.7288928973932196,3.381589317748122,4.67520409608034,6.158668801317601,0.48519599285426385,0.8989083168418662,1.8212349941473083,3.7411494994233774,7.94183720125861,0.5272089717761126,1.7594964010150225
AL,61,Educational services,1.4083482227931234,1.9967058281267505,9.111353578942888,10.368622362389527,12.838148977944593,0.8077067245914904,1.2218742165820518,1.4090276342271082,17.4896355213578,23.556334032648028,0.90670394917428,2.0688183514187464
AL,621,Ambulatory health care services,1.1929888868920413,1.6910388010984467,5.572155053188065,6.334480481049466,8.424956592614633,0.6837308827827904,1.081558410591327,1.5119745434568193,7.125362544941219,11.980428989735922,0.8938106190225169,1.8440671302926095
AL,622,Hospitals,1.404968703076941,1.8722815598671447,4.452209165180773,6.098159101764668,8.059621870619479,0.6415345590773405,1.055067964853254,1.810252297589939,4.452209165180773,9.984109219638365,0.6821455050464588,1.9018637809794037
AL,623,Nursing and residential care facilities,1.3086306556905904,1.8816504957471556,12.249456324325953,13.41668280894565,15.82183187718684,0.7866507952686037,1.1217085572335765,1.2916354373839904,12.934866759066225,18.420369960698753,0.8616898591241259,1.9363111820734231
AL,624,Social assistance,1.477871866280039,2.0827748041725376,15.598205728640977,17.206380544013705,19.745353256206155,0.83042042157995,1.1876464389728199,1.265873370290937,22.877143948714384,29.32330668383728,0.9360870432999052,2.1597455147361897
AL,711AS,"Performing arts, spectator sports, museums, and related activities",1.3776069485168587,1.6868774532033806,4.503746050373769,5.947728344685715,7.245836392930335,0.42457149204599737,1.002590381111071,1.6088465716953553,34.26833083397838,40.5769711093594,0.7421903921423284,1.9182405083567124
AL,713,"Amusements, gambling, and recreation industries",1.558020051332427,2.0525243332208545,13.080925265122826,14.841445141003963,16.917039090260285,0.6788633820652008,1.1296307066906006,1.293260128575579,15.778488005438637,22.14259516795665,0.7864938484318507,2.1309255666443487
AL,721,Accommodation,1.3709598874543072,1.7340038885471365,7.526102937101106,9.030444669203304,10.554257423876477,0.49839260739903557,1.0754245818024406,1.4023535835322698,8.383133415214255,12.780506538557589,0.5485300356314993,1.7705254827276962
AL,722,Food services and drinking places,1.3532530864423507,1.7275295737351637,10.87208930646263,11.979101065161824,13.550060186905382,0.5138127439883512,0.9179209620108901,1.2463161224081283,11.921865733551254,16.00504937403272,0.5616653595466419,1.7623868423967144
AL,81,"Other services, except government",1.2366014088650479,1.6593885236537371,3.6566370936086736,4.381899352786901,6.156473222860964,0.5804089087823022,0.9553391819458179,1.683643485874406,11.239144250276247,15.559062985346515,0.7395600280124552,1.7753189332263182
AL,GFGD,Federal general government (defense),1.2127310509327276,1.5647079870799696,1.4008270963806775,1.975151456720097,3.4525121706761115,0.4831995637517561,0.9494836799552576,2.4646240635952723,1.4008270963806775,4.275652263221247,0.5057826851401312,1.5811582044874606
AL,GFGN,Federal general government (nondefense),1.167717199554282,1.657924011315665,2.922494887320334,3.5382357043118873,5.595791785506199,0.6729637463863589,1.0686878406210862,1.9147310778144897,2.922494887320334,6.83515298203261,0.7019355898248766,1.679027963912083
AL,GFE,Federal government enterprises,1.2914496462319838,1.9324496111553084,7.492659377262791,8.270733885298739,10.961217461270184,0.8799749972432088,1.1640867626933042,1.4629275013532674,7.492659377262791,12.466180971158755,0.9175536161864464,1.9598229950581971
AL,GSLG,State and local general government,1.2259677925471602,1.7369865085281704,7.204830800682265,7.9588552022646555,10.103765557330565,0.7015346611452752,1.0490166812248438,1.4023598661572712,7.204830800682265,11.416169349031017,0.7349099930174837,1.7612980930918365
AL,GSLE,State and local government enterprises,1.313149581886188,1.6368861588552996,1.439827136393123,2.39574772382935,3.754574542768099,0.44443074729340537,0.7062768662278037,2.6076564664377666,1.439827136393123,4.888577873267126,0.4778763932147161,1.661248962263989
AK,111CA,Farms,1.3725994412298017,1.6099061287165206,4.456042547542956,5.380972913630218,6.317171057826278,0.3870774978039094,0.7428212151829582,1.4176639900598662,14.201405860462453,18.121887943685834,0.6569776215773846,1.7753745547767297
AK,113FF,"Forestry, fishing, and related activities",1.095207371707598,1.2345981288942682,2.2065319027668076,2.4228096187543358,2.972719819677562,0.22736411721153088,0.9402977772434042,1.347236274241047,19.769928489204926,24.751172760533418,1.0415911179771897,1.7337785604879095
AK,211,Oil and gas extraction,1.0853180559234001,1.1625580923076053,0.2613482534406568,0.3436595632319047,0.648379078245894,0.12598835848464937,0.6358658584869316,2.4809007510475616,0.2649120844830621,0.7660989341522334,0.13082474651988973,1.1655231502883832
AK,212,"Mining, except oil and gas",1.0772527820778346,1.2111433428426317,1.0242619618320927,1.1233056588516441,1.6515170457321233,0.2183925947864426,0.7369053484424836,1.6123971281507539,1.0940638676601482,1.9218918157467573,0.22798862981781287,1.2170264109600522
AK,213,Support activities for mining,1.0270481622091812,1.3643060422983808,2.659062881570151,2.7180504511543355,4.048565847913553,0.5501106509983462,0.9141057553037841,1.5225536319483026,2.711884438615829,4.5672207920560215,0.570860043599721,1.3770269306308975
AK,22,Utilities,1.1489209471707704,1.3352091197690759,1.4253518769748261,1.7007169291373874,2.4356420309930678,0.303859787869872,0.9013776682047502,1.708800521708707,1.4526681355963258,2.917237815053267,0.3368348108312373,1.3554252096042037
AK,23,Construction,1.1236246100554936,1.384321465175092,2.730512083359627,3.0705642716321693,4.0990389199683115,0.42522984680189896,0.7519166099186798,1.5011978686887357,4.015986377942279,6.270941682960953,0.5578929171929647,1.4656535859130146
AK,321,Wood products,1.355145849122367,1.5402076539468463,2.07103700778239,3.020984999062501,3.75107195983535,0.30185942549362244,0.6939101220847718,1.8112046987764336,4.654863261475916,8.86741553111138,0.5011762984442789,1.6624034084107027
AK,327,Nonmetallic mineral products,1.3711697463839794,1.694001182158626,3.4161532918394593,4.359718688588922,5.633320348370594,0.5265792788881632,0.8847141798629101,1.6490244632252087,4.48950549929092,7.725204774216713,0.6019590551001847,1.7402144730315217
AK,331,Primary metals,1.4074985176191854,1.6001278776181105,0.7699790918374215,1.818808672497882,2.5787503802458476,0.3142030739278114,0.608541661117542,3.3491174079702697,1.2960687737295533,3.9370055040522174,0.35657528158957713,1.6261051258403958
AK,332,Fabricated metal products,1.288109227069057,1.6303487663486365,4.339385030600536,5.110786458100034,6.460954988693968,0.558236373011264,0.80206890473878,1.4889102817870539,6.93966020526975,10.228013384251865,0.6703608648169774,1.6990892430942617
AK,333,Machinery,1.4059837249564298,1.671189240415278,2.679452557972827,3.8481638482526415,4.894425603589944,0.43258404731368305,0.8158605524669921,1.8266513392918151,3.685114742530147,7.241820620059203,0.5940194154615615,1.7701608744568402
AK,334,Computer and electronic products,1.1641095163062294,1.6260549489070022,3.8601499906942216,4.347681055731559,6.170101069684588,0.7534919646251509,1.1217162219123575,1.5984096691991332,4.220665400157931,7.469946909611327,0.8040845278617534,1.6570718735829562
AK,335,"Electrical equipment, appliances, and components",1.4864356167011639,1.9233907529039005,7.424536930411907,8.685843699198621,10.40967454417991,0.7127296013661242,0.9588421819795058,1.4020638110830153,7.616897143497284,11.850035972784344,0.7617559529323753,1.9534474757972577
AK,3361MV,"Motor vehicles, bodies and trailers, and parts",1.5192183093071971,1.7212600808630687,1.9208180547917106,3.3560593342733704,4.153133928268019,0.32955591860466843,0.6153237616966659,2.1621693517027962,1.9208180547917106,5.093013680107132,0.36814052148819376,1.7449152515982018
AK,3364OT,Other transportation equipment,1.2025693108529103,1.3910141263828875,1.9128709205439152,2.500736302551686,3.244169572178387,0.307377547771574,0.6890480945480191,1.6959688901830992,1.9128709205439152,3.799520365991678,0.3292911381592314,1.4044487527182812
AK,337,Furniture and related products,1.3945093629693117,1.5403841033041734,1.4079703346102614,2.4728270151436442,3.048317165180913,0.23794032136061619,0.694695799417865,2.1650436023033923,3.630669974260001,6.422340711109496,0.3095245799149866,1.5842704655187367
AK,339,Miscellaneous manufacturing,1.317112376210308,1.7847761777277866,6.817714101042196,7.767898372174554,9.61287791204885,0.7628193542374705,1.0665842382941948,1.4099854833424839,12.467229999460429,16.76440247648059,0.9059249698109219,1.872510338936215
AK,311FT,Food and beverage and tobacco products,1.21375962301054,1.4085300916530725,2.3772954063539236,2.9196546800544247,3.688043271284253,0.3176954954228457,0.48809388773803397,1.5513609547332754,2.459348160496038,4.281111589790327,0.34176998432426425,1.4232895061024915
